feature,importance,importance_std,split_id,train_end,horizon,model
year,0.0,0.0,1,2018-12-01,1,Ridge
month,0.008035708211837245,0.003136122275605671,1,2018-12-01,1,Ridge
quarter,0.002599920653697618,0.0012590595832208523,1,2018-12-01,1,Ridge
month_sin,0.000687799611333717,0.0008890366890824683,1,2018-12-01,1,Ridge
month_cos,0.0029411202545577054,0.0010156581811684566,1,2018-12-01,1,Ridge
HospRisk_lag1,0.004264143332532766,0.001693588451328644,1,2018-12-01,1,Ridge
HospRisk_lag2,0.0005642156193305436,0.0002560404621583222,1,2018-12-01,1,Ridge
HospRisk_lag3,0.0010442739962168047,0.0006740847551891401,1,2018-12-01,1,Ridge
HospRisk_lag6,-0.00044625571428424937,0.0004503987229879431,1,2018-12-01,1,Ridge
HospRisk_lag12,0.003950681209966667,0.0018920672831146778,1,2018-12-01,1,Ridge
HospRisk_rollmean3,0.0031274988992735287,0.001360119618060639,1,2018-12-01,1,Ridge
HospRisk_rollmean6,0.02052557849293375,0.004288943524219837,1,2018-12-01,1,Ridge
HospRisk_rollmean12,0.31999627567840516,0.010218271430561119,1,2018-12-01,1,Ridge
HospRisk_ewm3,0.020377948470944107,0.004237884939646072,1,2018-12-01,1,Ridge
HospRisk_ewm6,0.19697286169879102,0.014227407310145851,1,2018-12-01,1,Ridge
HospRisk_ewm12,0.010506870201109252,0.004449461025344655,1,2018-12-01,1,Ridge
share_nature_fractures_rollmean12_lag1,0.008693757538183234,0.0019840528111197014,1,2018-12-01,1,Ridge
share_nature_other_rollmean12_lag1,-0.00047113412696951905,0.0012820137552360517,1,2018-12-01,1,Ridge
share_nature_other_traumatic_rollmean12_lag1,0.0023126334239440436,0.001660626041404157,1,2018-12-01,1,Ridge
share_nature_unspecified_traumatic_rollmean12_lag1,0.0006816225347338389,0.0002707988948644893,1,2018-12-01,1,Ridge
share_event_contact_objects_rollmean12_lag1,0.00022404159397080293,0.00018092376504294568,1,2018-12-01,1,Ridge
share_event_falls_slips_trips_rollmean12_lag1,0.01958174752710883,0.0027249685822346077,1,2018-12-01,1,Ridge
share_event_other_rollmean12_lag1,0.005930302837873746,0.0015692800058255637,1,2018-12-01,1,Ridge
share_event_transportation_rollmean12_lag1,0.0010028333083071717,0.0013753200119182695,1,2018-12-01,1,Ridge
year,0.0,0.0,1,2018-12-01,1,Lasso
month,0.0024904871945424234,0.0021317566308212844,1,2018-12-01,1,Lasso
quarter,0.0,0.0,1,2018-12-01,1,Lasso
month_sin,0.0006183657965028843,0.0007660235055959525,1,2018-12-01,1,Lasso
month_cos,0.0032217116526794152,0.0010912601567220593,1,2018-12-01,1,Lasso
HospRisk_lag1,0.0,0.0,1,2018-12-01,1,Lasso
HospRisk_lag2,-0.0010900023126222513,0.0011267884379866145,1,2018-12-01,1,Lasso
HospRisk_lag3,0.0,0.0,1,2018-12-01,1,Lasso
HospRisk_lag6,0.0,0.0,1,2018-12-01,1,Lasso
HospRisk_lag12,0.005446772903481056,0.0021579259725114297,1,2018-12-01,1,Lasso
HospRisk_rollmean3,0.0,0.0,1,2018-12-01,1,Lasso
HospRisk_rollmean6,-0.00023220766165870098,0.0007145966425829182,1,2018-12-01,1,Lasso
HospRisk_rollmean12,0.18655564818131568,0.007923243605862319,1,2018-12-01,1,Lasso
HospRisk_ewm3,0.0,0.0,1,2018-12-01,1,Lasso
HospRisk_ewm6,-0.00016619206475879667,0.00025131939037044936,1,2018-12-01,1,Lasso
HospRisk_ewm12,0.0011781864122333175,0.001858981190927631,1,2018-12-01,1,Lasso
share_nature_fractures_rollmean12_lag1,0.0053281802726532716,0.001479117351781963,1,2018-12-01,1,Lasso
share_nature_other_rollmean12_lag1,-0.0007350389038570437,0.0009683959714105702,1,2018-12-01,1,Lasso
share_nature_other_traumatic_rollmean12_lag1,0.001298050841336529,0.0012618989039771818,1,2018-12-01,1,Lasso
share_nature_unspecified_traumatic_rollmean12_lag1,0.0,0.0,1,2018-12-01,1,Lasso
share_event_contact_objects_rollmean12_lag1,0.0,0.0,1,2018-12-01,1,Lasso
share_event_falls_slips_trips_rollmean12_lag1,0.012496817962540319,0.0020220113795756754,1,2018-12-01,1,Lasso
share_event_other_rollmean12_lag1,0.004326349321132061,0.0013126951487210875,1,2018-12-01,1,Lasso
share_event_transportation_rollmean12_lag1,0.0006522112623412845,0.0011579846015279268,1,2018-12-01,1,Lasso
year,0.0,0.0,1,2018-12-01,1,ElasticNet
month,0.003483608629250201,0.0023559725321675275,1,2018-12-01,1,ElasticNet
quarter,0.00022999805416461515,0.00018579841427350294,1,2018-12-01,1,ElasticNet
month_sin,0.0007197510803299778,0.0008554339177970056,1,2018-12-01,1,ElasticNet
month_cos,0.003174230821985824,0.0010743432744158444,1,2018-12-01,1,ElasticNet
HospRisk_lag1,0.0007715356318161781,0.0006677292616001979,1,2018-12-01,1,ElasticNet
HospRisk_lag2,-0.000848235970754585,0.0005841144602421377,1,2018-12-01,1,ElasticNet
HospRisk_lag3,0.0003139715876555926,0.00027585388524278853,1,2018-12-01,1,ElasticNet
HospRisk_lag6,-8.780035266034992e-05,6.312755619746624e-05,1,2018-12-01,1,ElasticNet
HospRisk_lag12,0.0050015618483394975,0.0021129940635479286,1,2018-12-01,1,ElasticNet
HospRisk_rollmean3,0.0,0.0,1,2018-12-01,1,ElasticNet
HospRisk_rollmean6,0.0,0.0,1,2018-12-01,1,ElasticNet
HospRisk_rollmean12,0.23083007872211594,0.008636111241311556,1,2018-12-01,1,ElasticNet
HospRisk_ewm3,0.0,0.0,1,2018-12-01,1,ElasticNet
HospRisk_ewm6,0.0033788406929825656,0.0026466623444669794,1,2018-12-01,1,ElasticNet
HospRisk_ewm12,0.009059595238755835,0.004007689607033679,1,2018-12-01,1,ElasticNet
share_nature_fractures_rollmean12_lag1,0.0063681482861401295,0.0016352822457553703,1,2018-12-01,1,ElasticNet
share_nature_other_rollmean12_lag1,-0.000734326814932762,0.0010429843849704566,1,2018-12-01,1,ElasticNet
share_nature_other_traumatic_rollmean12_lag1,0.0014689079421048134,0.0013456905188297457,1,2018-12-01,1,ElasticNet
share_nature_unspecified_traumatic_rollmean12_lag1,0.0,0.0,1,2018-12-01,1,ElasticNet
share_event_contact_objects_rollmean12_lag1,0.0,0.0,1,2018-12-01,1,ElasticNet
share_event_falls_slips_trips_rollmean12_lag1,0.014119553368830539,0.002210585243481824,1,2018-12-01,1,ElasticNet
share_event_other_rollmean12_lag1,0.00460662576775982,0.0013470474096922422,1,2018-12-01,1,ElasticNet
share_event_transportation_rollmean12_lag1,0.0007208647926336131,0.001216204113197898,1,2018-12-01,1,ElasticNet
year,0.0,0.0,1,2018-12-01,1,PLS
month,0.004335946841887239,0.002668271254112755,1,2018-12-01,1,PLS
quarter,0.0015280239285606512,0.0008677522844429437,1,2018-12-01,1,PLS
month_sin,0.0003559476990197985,0.0006032327022357297,1,2018-12-01,1,PLS
month_cos,0.003235239756875552,0.0010811147856356587,1,2018-12-01,1,PLS
HospRisk_lag1,-2.4853335914132302e-05,0.00015070615330702906,1,2018-12-01,1,PLS
HospRisk_lag2,-0.0013808136934352123,0.0015077639774652137,1,2018-12-01,1,PLS
HospRisk_lag3,0.00017454246069480427,0.0001750220458069691,1,2018-12-01,1,PLS
HospRisk_lag6,-0.0004981978002674637,0.0003486724886655939,1,2018-12-01,1,PLS
HospRisk_lag12,0.006052394961583529,0.0021940512412626763,1,2018-12-01,1,PLS
HospRisk_rollmean3,-0.00044690702239047475,0.0005910438134856768,1,2018-12-01,1,PLS
HospRisk_rollmean6,0.0009644046354709724,0.001917120479791527,1,2018-12-01,1,PLS
HospRisk_rollmean12,0.14819037313873218,0.007541271093614363,1,2018-12-01,1,PLS
HospRisk_ewm3,-0.0002427448132155341,0.0008448741234637848,1,2018-12-01,1,PLS
HospRisk_ewm6,0.0007075944497558328,0.0004938758652099833,1,2018-12-01,1,PLS
HospRisk_ewm12,0.008624741726175921,0.002535206982337439,1,2018-12-01,1,PLS
share_nature_fractures_rollmean12_lag1,0.009540677330467507,0.0021240887505122263,1,2018-12-01,1,PLS
share_nature_other_rollmean12_lag1,-0.00038583062467802967,0.0013787853895310155,1,2018-12-01,1,PLS
share_nature_other_traumatic_rollmean12_lag1,0.003245578165550733,0.0021162349869617092,1,2018-12-01,1,PLS
share_nature_unspecified_traumatic_rollmean12_lag1,0.001713555274288836,0.0004907523935743463,1,2018-12-01,1,PLS
share_event_contact_objects_rollmean12_lag1,0.0012582932911479271,0.0003991867701476291,1,2018-12-01,1,PLS
share_event_falls_slips_trips_rollmean12_lag1,0.02185319639822757,0.0024801870283012056,1,2018-12-01,1,PLS
share_event_other_rollmean12_lag1,0.007342104529204041,0.0017264861625947508,1,2018-12-01,1,PLS
share_event_transportation_rollmean12_lag1,0.0011406568300623364,0.001469553119837725,1,2018-12-01,1,PLS
year,0.0,0.0,1,2018-12-01,1,XGBoost
month,0.000626404519825241,0.0019991521950688852,1,2018-12-01,1,XGBoost
quarter,0.0,0.0,1,2018-12-01,1,XGBoost
month_sin,-0.00025830526332250027,0.0012300057217585739,1,2018-12-01,1,XGBoost
month_cos,0.0050834744994256885,0.0045895112459028095,1,2018-12-01,1,XGBoost
HospRisk_lag1,0.006388440383567539,0.00475258389585475,1,2018-12-01,1,XGBoost
HospRisk_lag2,0.000997234872431818,0.0021480855609080913,1,2018-12-01,1,XGBoost
HospRisk_lag3,0.0004153256748211431,0.0017367359331671352,1,2018-12-01,1,XGBoost
HospRisk_lag6,0.008246316689011723,0.0015027817556642592,1,2018-12-01,1,XGBoost
HospRisk_lag12,0.005169161569919034,0.0026536631941119033,1,2018-12-01,1,XGBoost
HospRisk_rollmean3,-0.00012210735359197145,0.0005857941052701665,1,2018-12-01,1,XGBoost
HospRisk_rollmean6,-0.001062159180390021,0.0005621940609105768,1,2018-12-01,1,XGBoost
HospRisk_rollmean12,0.09885768707279276,0.007609004092987283,1,2018-12-01,1,XGBoost
HospRisk_ewm3,0.01218429234455729,0.0017647222049696225,1,2018-12-01,1,XGBoost
HospRisk_ewm6,0.0018648862542436583,0.0009589917079322567,1,2018-12-01,1,XGBoost
HospRisk_ewm12,0.0114126508438119,0.0018230698282394504,1,2018-12-01,1,XGBoost
share_nature_fractures_rollmean12_lag1,0.0009756835250648521,0.0009202990910125333,1,2018-12-01,1,XGBoost
share_nature_other_rollmean12_lag1,0.0017811914707006938,0.0025509768819615202,1,2018-12-01,1,XGBoost
share_nature_other_traumatic_rollmean12_lag1,0.0022256030953578644,0.001738075345731652,1,2018-12-01,1,XGBoost
